[1;34m[src/simulator/img.c:46 load_img] The image is ./os_test/os.bin, size = 16388[0m
[1;34m[src/memory/mmio.c:51 add_mmio_map] Add mmio map 'serial' at [ a00003f8 , a00003ff ][0m
[1;34m[src/memory/mmio.c:51 add_mmio_map] Add mmio map 'rtc' at [ a0000048 , a000004f ][0m
[1;34m[src/memory/mmio.c:51 add_mmio_map] Add mmio map 'vgactl' at [ a0000100 , a0000107 ][0m
[1;34m[src/memory/mmio.c:51 add_mmio_map] Add mmio map 'vmem' at [ a1000000 , a10752ff ][0m
[1;34m[src/memory/mmio.c:51 add_mmio_map] Add mmio map 'keyboard' at [ a0000060 , a0000063 ][0m
0000000000000000:    f1 40 22 f3    csrr	t0, mhartid
0000000080000004:    00 02 82 13    mv	tp, t0
0000000080000008:    04 02 96 63    bnez	t0, 76
000000008000000c:    00 00 45 17    auipc	a0, 4
0000000080000010:    ff c5 05 13    addi	a0, a0, -4
0000000080000014:    00 00 75 97    auipc	a1, 7
0000000080000018:    60 45 85 93    addi	a1, a1, 1540
000000008000001c:    00 b5 78 63    bgeu	a0, a1, 16
0000000080000020:    00 05 30 23    sd	zero, 0(a0)
0000000080000024:    00 85 05 13    addi	a0, a0, 8
0000000080000028:    fe b5 6c e3    bltu	a0, a1, -8
0000000080000020:    00 05 30 23    sd	zero, 0(a0)
0000000080000024:    00 85 05 13    addi	a0, a0, 8
0000000080000028:    fe b5 6c e3    bltu	a0, a1, -8
0000000080000020:    00 05 30 23    sd	zero, 0(a0)
0000000080000024:    00 85 05 13    addi	a0, a0, 8
0000000080000028:    fe b5 6c e3    bltu	a0, a1, -8
0000000080000020:    00 05 30 23    sd	zero, 0(a0)
0000000080000024:    00 85 05 13    addi	a0, a0, 8
0000000080000028:    fe b5 6c e3    bltu	a0, a1, -8
0000000080000020:    00 05 30 23    sd	zero, 0(a0)
0000000080000024:    00 85 05 13    addi	a0, a0, 8
0000000080000028:    fe b5 6c e3    bltu	a0, a1, -8
0000000080000020:    00 05 30 23    sd	zero, 0(a0)
0000000080000024:    00 85 05 13    addi	a0, a0, 8
0000000080000028:    fe b5 6c e3    bltu	a0, a1, -8
0000000080000020:    00 05 30 23    sd	zero, 0(a0)
0000000080000024:    00 85 05 13    addi	a0, a0, 8
0000000080000028:    fe b5 6c e3    bltu	a0, a1, -8
